RegionID,RegionName,City,State,Metro,CountyName,2019-02,price_log
274772,Northeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,341000,5.532754378992498
192689,Paradise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,265200,5.423573519732735
270958,Upper West Side,New York,NY,New York-Newark-Jersey City,New York County,1328900,6.123492301422652
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,485700,5.686368103473036
270957,Upper East Side,New York,NY,New York-Newark-Jersey City,New York County,1284800,6.108835527934605
192820,Sunrise Manor,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,226600,5.355259905527379
192796,Spring Valley,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,279600,5.446537167073644
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,393500,5.5949447366950835
194430,East New York,New York,NY,New York-Newark-Jersey City,Kings County,442400,5.645815118296642
112547,Paradise Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,343500,5.535926741395569
198687,Washington Heights,New York,NY,New York-Newark-Jersey City,New York County,670100,5.826139617935914
111818,Deer Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,254300,5.405346360175709
267955,North Mountain,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,217400,5.337259539750276
272816,Astoria,New York,NY,New York-Newark-Jersey City,Queens County,853600,5.931254406416413
273698,Far North,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,397500,5.599337132992489
272902,Bedford Stuyvesant,New York,NY,New York-Newark-Jersey City,Kings County,805600,5.906119457545562
199001,Williamsburg,New York,NY,New York-Newark-Jersey City,Kings County,897100,5.952840856675701
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,889600,5.9491947742379825
267908,Camelback East,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,340000,5.531478917042255
194737,Flatbush,New York,NY,New York-Newark-Jersey City,Kings County,988400,5.994932736730042
275473,Southeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,136300,5.134495855834674
272734,Alhambra,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,189600,5.277838333002047
403222,Crown Heights,New York,NY,New York-Newark-Jersey City,Kings County,974700,5.9888709660646455
25294,Jamaica,New York,NY,New York-Newark-Jersey City,Queens County,462100,5.664735968518705
275237,Roosevelt,Fresno,CA,Fresno,Fresno County,188400,5.275080898456858
273566,East Side,El Paso,TX,El Paso,El Paso County,134100,5.127428777851599
35521,Enterprise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,308700,5.489536629482095
343222,Williamsbridge,New York,NY,New York-Newark-Jersey City,Bronx County,437300,5.640779477344857
270828,East Harlem,New York,NY,New York-Newark-Jersey City,New York County,820100,5.91386681189624
274742,North Scottsdale,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,571800,5.75724415102197
267971,South Mountain,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,198000,5.296665190261531
273565,East San Jose,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,758800,5.880127322216625
193587,Bushwick,New York,NY,New York-Newark-Jersey City,Kings County,758300,5.879841055986563
194379,East Flatbush,New York,NY,New York-Newark-Jersey City,Kings County,529300,5.723701893991268
275456,South Side,Corpus Christi,TX,Corpus Christi,Nueces County,183300,5.263162464962217
28380,Alief,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,146100,5.164650215934297
10957,Corona,New York,NY,New York-Newark-Jersey City,Queens County,533600,5.7272158209084925
273555,East Memphis-Colonial-Yorkshire,Memphis,TN,Memphis,Shelby County,127800,5.106530853822381
270945,Sunset Park,New York,NY,New York-Newark-Jersey City,Kings County,537900,5.730701544281845
273088,Bullard,Fresno,CA,Fresno,Fresno County,290500,5.463146136726349
275501,Southwest Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,195200,5.290479813330673
193406,Borough Park,New York,NY,New York-Newark-Jersey City,Kings County,895500,5.95206559018505
193285,Bensonhurst,New York,NY,New York-Newark-Jersey City,Kings County,809500,5.908216853089392
276246,Central City,Corpus Christi,TX,Corpus Christi,Nueces County,77400,4.888740960682893
276652,West San Jose,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1537600,6.18684337032447
403223,Elmhurst,New York,NY,New York-Newark-Jersey City,Queens County,550900,5.741072772373322
273527,East,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,166800,5.22219604630172
275454,South Scottsdale,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,359600,5.555819683061191
276215,Blossom Valley,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,981800,5.99202302776385
276476,North Long Beach,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,468300,5.67052415778208
269592,Logan Square,Chicago,IL,Chicago-Naperville-Elgin,Cook County,353700,5.548635059814751
403131,Sheepshead Bay,New York,NY,New York-Newark-Jersey City,Kings County,788600,5.8968567727372045
343217,South Bronx,New York,NY,New York-Newark-Jersey City,Bronx County,410000,5.6127838567197355
343205,Soundview,New York,NY,New York-Newark-Jersey City,Bronx County,408900,5.611617110554336
118987,Willow Glen,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1311100,6.117635817389494
275467,Southeast,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,211400,5.325104982971408
193640,Canarsie,New York,NY,New York-Newark-Jersey City,Kings County,490900,5.690993032099869
273480,Downtown,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,902900,5.955639653023252
274514,Mid City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1085100,6.035469763481282
271511,Northwest,El Paso,TX,El Paso,El Paso County,202500,5.306425027550687
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,587300,5.768860000842957
275090,Preston Hollow,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,420700,5.623972512016996
270875,Lower East Side,New York,NY,New York-Newark-Jersey City,New York County,962300,5.9833104857941155
273652,Estrella,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,210500,5.323252100171687
41131,Sun Valley,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,560100,5.748265572668741
33183,Northridge,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,710100,5.851319512648745
18131,Flushing,New York,NY,New York-Newark-Jersey City,Queens County,740500,5.869525062857227
15046,Alafaya,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,291700,5.464936429121733
27182,South Ozone Park,New York,NY,New York-Newark-Jersey City,Queens County,499100,5.698187569866122
267900,Ahwatukee Foothills,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,331100,5.5199591807520685
34213,Sylmar,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,523200,5.7186677353162105
113886,Boyle Heights,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,444900,5.648262405748045
275950,West,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,220400,5.343211590179747
